Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,label
-3.5681505,0.5999785,0.16104603,-3.088205,-3.589948,0.16558653,0.017162966,-3.0727072,-3.1974475,0.19182497,0.24018313,-3.045223,-2.8368018,0.7153697,0.72714037,-2.9369602,-2.9958327,0.4552116,0.49688134,-3.177581,1
-3.5681505,0.4210756,0.088383906,-3.088205,-3.589948,0.11640291,-0.2342222,-3.0727072,-3.1974475,0.41139328,0.14597002,-3.045223,-2.8368018,0.7198667,0.62644315,-2.9369602,-2.9958327,0.48677823,0.61322373,-3.177581,1
-3.5681505,0.08391514,0.1900539,-3.088205,-3.589948,-0.20217514,-0.18506676,-3.0727072,-3.1974475,0.44120264,0.2067545,-3.045223,-2.8368018,0.81058055,0.7372382,-2.9369602,-2.9958327,0.55778855,0.71970254,-3.177581,1
-3.5681505,-0.54918975,0.22879006,-3.088205,-3.589948,-0.16787073,-0.42968374,-3.0727072,-3.1974475,0.454189,0.27252236,-3.045223,-2.8368018,0.5470876,0.85443825,-2.9369602,-2.9958327,0.62462556,0.56091595,-3.177581,1
-3.5681505,0.122884944,0.16062663,-3.088205,-3.589948,0.103428185,-0.21846251,-3.0727072,-3.1974475,0.50197005,0.53568816,-3.045223,-2.8368018,0.5234673,0.7514458,-2.9369602,-2.9958327,0.6612841,0.41900557,-3.177581,1
-3.5681505,0.5862862,-0.2382723,-3.088205,-3.589948,0.34165683,-0.06101181,-3.0727072,-3.1974475,0.6908209,0.61645913,-3.045223,-2.8368018,0.56833845,0.7186805,-2.9369602,-2.9958327,0.52767724,0.56999856,-3.177581,1
-3.5681505,0.13746595,-0.102125525,-3.088205,-3.589948,0.19224611,0.04248971,-3.0727072,-3.1974475,0.46008626,0.20938987,-3.045223,-2.8368018,0.6849769,0.75851136,-2.9369602,-2.9958327,0.52478826,0.36333063,-3.177581,1
-3.5681505,0.105104424,0.17578512,-3.088205,-3.589948,-0.024946833,0.1377519,-3.0727072,-3.1974475,0.17725836,0.43169415,-3.045223,-2.8368018,0.7057886,0.7688699,-2.9369602,-2.9958327,0.46024823,0.48189422,-3.177581,1
-3.5681505,0.09102504,0.11868051,-3.088205,-3.589948,-0.032151368,0.13737814,-3.0727072,-3.1974475,0.17519583,0.2634157,-3.045223,-2.8368018,0.5964673,0.73527664,-2.9369602,-2.9958327,0.4105889,0.4512743,-3.177581,1
-3.5681505,0.04631728,-0.10142362,-3.088205,-3.589948,0.1239908,0.041651815,-3.0727072,-3.1974475,0.10232193,0.09473436,-3.045223,-2.8368018,0.6394352,0.6525871,-2.9369602,-2.9958327,0.43774316,0.4348043,-3.177581,1
-3.5681505,-0.110605754,0.08872609,-3.088205,-3.589948,-0.07397562,0.16946772,-3.0727072,-3.1974475,0.088418856,0.4162925,-3.045223,-2.8368018,0.48728728,0.5851443,-2.9369602,-2.9958327,0.4312387,0.5725797,-3.177581,1
-3.5681505,0.21250452,0.4645297,-3.088205,-3.589948,0.23688677,0.19035572,-3.0727072,-3.1974475,0.08419856,0.4217367,-3.045223,-2.8368018,0.53662735,0.5878497,-2.9369602,-2.9958327,0.23483895,0.5519708,-3.177581,1
-3.5681505,0.43264842,0.47254163,-3.088205,-3.589948,0.2924823,0.26340806,-3.0727072,-3.1974475,0.13235417,0.43449837,-3.045223,-2.8368018,0.59597546,0.67096895,-2.9369602,-2.9958327,0.47907448,0.5642872,-3.177581,1
-3.5681505,0.34692565,0.42287457,-3.088205,-3.589948,0.001870251,0.2340646,-3.0727072,-3.1974475,0.19002587,0.58240676,-3.045223,-2.8368018,0.47428772,0.6960926,-2.9369602,-2.9958327,0.49961612,0.5297046,-3.177581,1
-3.5681505,0.9166976,0.61653984,-3.088205,-3.589948,0.65501374,0.19815934,-3.0727072,-3.1974475,0.7495409,0.5002151,-3.045223,-2.8368018,0.53153527,0.59053713,-2.9369602,-2.9958327,0.4010954,0.44963798,-3.177581,1
-3.5681505,0.97488666,0.90369374,-3.088205,-3.589948,0.79354376,0.7801147,-3.0727072,-3.1974475,0.89401007,0.8271097,-3.045223,-2.8368018,0.6436085,0.65782624,-2.9369602,-2.9958327,0.39125073,0.5296323,-3.177581,1
-3.5681505,0.9550529,0.8744221,-3.088205,-3.589948,0.810201,0.7186164,-3.0727072,-3.1974475,1.0318491,0.7682199,-3.045223,-2.8368018,0.63665026,0.62105924,-2.9369602,-2.9958327,0.18397242,0.5223297,-3.177581,1
-3.5681505,0.57895184,0.5371387,-3.088205,-3.589948,0.32049727,0.2995146,-3.0727072,-3.1974475,0.50746435,0.67112035,-3.045223,-2.8368018,0.30228373,0.65515286,-2.9369602,-2.9958327,0.11869889,0.54777175,-3.177581,1
-3.5681505,0.51602286,0.3515151,-3.088205,-3.589948,0.4448055,0.33757323,-3.0727072,-3.1974475,0.53914815,0.6996425,-3.045223,-2.8368018,0.38736182,0.6088606,-2.9369602,-2.9958327,0.21798028,0.5484311,-3.177581,1
-3.5681505,0.6307811,0.69178605,-3.088205,-3.589948,0.3114258,0.5512485,-3.0727072,-3.1974475,0.5867763,0.82240224,-3.045223,-2.8368018,0.6236104,0.75569767,-2.9369602,-2.9958327,0.38146,0.66638845,-3.177581,1
-3.5681505,0.66784126,0.72988456,-3.088205,-3.589948,0.46936563,0.57899225,-3.0727072,-3.1974475,0.73552716,0.861364,-3.045223,-2.8368018,0.7070934,0.95791453,-2.9369602,-2.9958327,0.46952155,0.69937634,-3.177581,1
-3.5681505,0.8919713,0.8791492,-3.088205,-3.589948,0.6436143,0.6747026,-3.0727072,-3.1974475,0.7967393,0.7793284,-3.045223,-2.8368018,0.70429933,0.8850696,-2.9369602,-2.9958327,0.4565819,0.56528664,-3.177581,1
-3.5681505,1.0435392,0.7874272,-3.088205,-3.589948,0.68428254,0.7114698,-3.0727072,-3.1974475,0.7222532,0.69675124,-3.045223,-2.8368018,0.6851682,0.79842746,-2.9369602,-2.9958327,0.39333832,0.5912285,-3.177581,1
